في	in/ within	fī
المستخدمين
أحكام	plural of حُكْم (ḥukm)	ʔaḥkām
الكلمات	plural of كَلِمَة (kalima)	kalimāt
الادارية
الامم
آخرين
سليم	safe/ secure	salīm
كتابة	verbal noun of كَتَبَ (kataba) (form I)	kitāba
فهل	introduces a positive yes-no question	hal
مقاطع
الأكبر	elative degree of كَبِير (kabīr):	ʔakbar
حياته
تحسين	verbal noun of حَسَّنَ (ḥassana) (form II)	taḥsīn
تعود		form I
افتتاح	verbal noun of اِفْتَتَحَ (iftataḥa) (form VIII)	iftitāḥ
الاردن
الطبيب	doctor/ physician	ṭabīb
ابتدائي	initial	ibtidāʔiyy
أماكن	plural of مَكَان (makān)	ʔamākin
سيدي
المسؤول	passive participle of سَأَلَ (saʔala)	masʔūl
بالضغط	to press	ḍaḡaṭa
الزمالك
ناحية	side/ direction	nāḥiya
الموافق
شك	to doubt/ be doubtful/ suspect	šakka
الهواء
النشاط	verbal noun of نَشِطَ (našiṭa) (form I)	našāṭ
يجري		form I
يحتوي		form VIII
كشفت		form I
بس	to crush	bassa
ورشة	workshop (small manufacturing room)	warša
دعا	to call	daʕā
للمرة	a time/ instance/ occurrence	marra
اننا
النور	to flower/ to blossom	nawwara
مجالس	plural of مَجْلِس (majlis)	majālis
التغيير	verbal noun of غَيَّرَ (ḡayyara) (form II)	taḡyīr
نجد	highland/ plateau	najd
المؤمنين
ماكس
الوفد	verbal noun of وَفَدَ (wafada) (form I)	wafd
القمة	top/ peak/ crown/ highest point/ apex/ vertex	qimma
علماء	plural of عَالِم (ʕālim)	ʕulamāʔ
امتحانات	plural of اِمْتِحَان (imtiḥān)	imtiḥānāt
عيادة	verbal noun of عَادَ (ʕāda) (form I)	ʕiyāda
المستشفى	hospital	mustašfan
الصراع	verbal noun of صَارَعَ (ṣāraʕa) (form III)	ṣirāʕ
السماء	the sky/skies/ the heaven(s) (figurative/ simile)/ space/ the…	samāʔ
افريقيا
الإثنين	misspelling of الاِثْنَيْن (al-iṯnayn)	al-ʔiṯnayn
واضح	clear	wāḍiḥ
حتي
الزوجية
الديني	religious/ related to religion	dīniyy
السكان	rudder/ helm/ steering wheel of a ship	sukkān
خليفة	a successor	ḵalīfa
ايام
اعادة
فهذا	this	hāḏā
شهدت		form I
الرؤية	verbal noun of رَأَى (raʔā): seeing (the act of perceiving with…	ruʔya
جميل	beautiful	jamīl
رابط	link/ linkage	rābiṭ
السؤال	verbal noun of سَأَلَ (saʔala) (form I)	suʔāl
ميزات
لحظة	moment/ instant	laḥẓa
كمال	perfection/ completeness/ wholeness	kamāl
رب	to be master/ to be lord	rabba
الأم	mother	ʔumm
خادم	domestic servant or (male) manservant (female) maidservant	ḵādim
متخصصة
الموبايل
الاهتمام	verbal noun of اِهْتَمَّ (ihtamma) (form VIII)	ihtimām
تؤكد		form II
معهد	institute	maʕhad
والعالمية	universality	ʕālamiyya
أحداث	plural of حَدَث (ḥadaṯ)	ʔaḥdāṯ
بمنطقة	zone	minṭaqa
علمية	feminine singular of عِلْمِيّ (ʕilmiyy)	ʕilmiyya
السمو	verbal noun of سَمَا (samā) (form I)	sumuww
رواية	verbal noun of رَوَى (rawā) (form I)	riwāya
ربيع	spring (season)	rabīʕ
الحملة	verbal noun of حَمَلَ (ḥamala/ “to attack”) (form I)	ḥamla
الإيراني
فلاشات
تحضير	verbal noun of حَضَّرَ (ḥaḍḍara) (form II)	taḥḍīr
بكم	how many?/ how much? (used with accusative noun in singular/ if…	kam
إجراءات
قم	to sweep/ to scoop	qamma
وهل	to be weak/ to be terrified/ to be timid	wahila
صرف	to turn	ṣarafa
أشخاص	plural of شَخْص (šaḵṣ)	ʔašḵāṣ
الاقتراحات	plural of اِقْتِرَاح (iqtirāḥ)	iqtirāḥāt
اذ
تنمية	verbal noun of نَمَّى (nammā) (form II)	tanmiya
لابد
باللغة	language	luḡa
بوش
يبقى		form I
تشمل
النبوي
الوجه	to be a man of distinction/ to be notable	wajuha
خبر	to try/ to test	ḵabara
الأطراف	plural of طَرَف (ṭaraf)	ʔaṭrāf
زايد	to bid/ to outbid	zāyada
عنهم
النهاية	end (“extreme part of something”)	nihāya
يبدأ		form I
عيسى	Jesus (ʿĪsā)/ son of Mary/ revered as a major prophet in Islam.	ʕīsā
ماليزيا	Malaysia (a country in Southeast Asia)	malayziyā
النوم	to lull to sleep/ to put to bed/ to put to sleep/ to make lie down	nawwama
رسميا
رمز	symbol/ emblem	ramz
رأى	to see (to perceive with the eyes)	raʔā
برس
ضوء	verbal noun of ضَاءَ (ḍāʔa/ “to shine”) (form I)	ḍawʔ
أصحابها
شهرين
الصحيح	complete/ perfect/ whole	ṣaḥīḥ
الفنانين
السلاح	weapon/ arm	silāḥ
النقد	verbal noun of نَقَدَ (naqada/ “to pay in cash”) (form I)/ payment…	naqd
الطالب	seeker/ pursuer	ṭālib
السيطرة	verbal noun of سَيْطَرَ (sayṭara) (form Iq)	sayṭara
تجارة	verbal noun of تَجَرَ (tajara) (form I)	tijāra
واحدا
الحقيقي	true/ real/ actual	ḥaqīqiyy
لشركة	verbal noun of شَرِكَ (šarika) (form I)	šarika or širka
العدالة
المتوقع
الطائرة	airplane	ṭāʔira
للمشاركة	verbal noun of شَارَكَ (šāraka) (form III)	mušāraka
صفر	Safar (the second month of the Islamic calendar)	ṣafar
منك
القاضي		qāḍī
إسماعيل	Ishmael/ Ismail	ʔismāʕīl
نيك	verbal noun of نَاكَ (nāka) (form I)	nayk
المعنية
الأسهم	plural of سَهْم (sahm)	ʔashum
امراض
قررت		form I
الإنتاج	verbal noun of أَنْتَجَ (ʔantaja) (form IV)	ʔintāj
تعليق	verbal noun of عَلَّقَ (ʕallaqa) (form II)	taʕlīq
مضيفا
الرئاسة	verbal noun of رَأَسَ (raʔasa) (form I)	riʔāsa
الفرصة	chance/ occasion/ opportunity	furṣa
ظهور	verbal noun of ظَهَرَ (ẓahara) (form I)	ẓuhūr
نفسك
سلامة	verbal noun of سَلِمَ (salima) (form I)	salāma
قرنية
الداخل	to befall/ to seize/ to come over	dāḵala
مالك	owning/ possessing/ holding	mālik
حرية	verbal noun of حَرَّ (ḥarra) (form I)	ḥurriyya
بقوة	verbal noun of قَوِيَ (qawiya) (form I)	quwwa
يخص		form I
النووي
المبارك	active participle of بَارَكَ (bāraka).	mubārik
الجيل	generation (entity of the same time period/ or the time period itself)	jīl
الصيف	summer	ṣayf
أكدت		form II
حرة
الابصار
شبه	to resemble/ to bear a resemblance/ to be similar	šabiha
المستشار	adviser/ counsellor/ consultant	mustašār
منتصف	middle	muntaṣaf
بحاجة	need/ necessity (act of needing something)	ḥāja
الانتخابية
الشروحات
يعلم		form I
ت	The third letter of the Arabic alphabet/ called تَاء (tāʔ) and…	/taːʔ/
اليمنية
الأموال	plural of مَال (māl)	ʔamwāl
نجوم	plural of نَجْم (najm)	nujūm
بالكامل	complete/ full	kāmil
وسوف	added to an imperfect (present) verb form to express future tense:…	sawfa
الزراعية	female equivalent of زِرَاعِيّ (zirāʕiyy)	zirāʕiyya
التقدم	to precede	taqaddama
تتم		form I
بقيمة	value/ worth	qīma
البلدان	plural of بَلَد (balad)	buldān
محفوظة
قرارات	plural of قَرَار (qarār)	qarārāt
وخصوصا	especially/ particularly	ḵuṣūṣan
النهائية
علاقات	plural of عَلَاقَة (ʕalāqa)	ʕalāqāt
اسمه
الشبكيه
انسداد	verbal noun of اِنْسَدَّ (insadda) (form VII)	insidād
فرنك
والسلام	verbal noun of سَلِمَ (salima) (form I)/ well-being	salām
نجم	to appear	najama
حادث	to converse with	ḥādaṯa
إرسال	verbal noun of أَرْسَلَ (ʔarsala) (form IV)	ʔirsāl
مميزة
الدروس	plural of دَرْس (dars)	durūs
التلفزيون	television/ TV	tilifizyūn or talafizyūn
الوزن	to weigh (“to determine the weight of an object”)	wazana
طهران	Tehran (the capital city of Iran)	ṭahrān
المدرسية
بجميع	whole/ entire/ all	jamīʕ
الوسطى
حجر	to stop/ to hinder	ḥajara
العمومية
لغات	plural of لُغَة (luḡa)	luḡāt
وادي		wādī
المهنية
النكت	plural of نُكْتَة (nukta)	nukat
تصوير	verbal noun of صَوَّرَ (ṣawwara) (form II)	taṣwīr
الجنيه	pound (unit of currency)	junayh
الخصوصية	individuality/ idiosyncrasy	ḵuṣūṣiyya
أين	where/ at which place/ whence	ʔayna
المرض	to be or become sick	mariḍa
تبقى	to remain/ to continue/ to stay	tabaqqā
النيل	the Nile	an-nīl
الجمال	verbal noun of جَمُلَ (jamula) (form I)	jamāl
توظيف	employment	tawẓīf
وليد	newborn child/ baby	walīd
روح	spirit (all senses)/ ghost	rūḥ
الفنون	plural of فَنّ (fann)	funūn
وهى	to be or become weak or fragile	wahā
السوداني
واختبارات
والانترنت
حمد	to praise/ to commend	ḥamida
ممارسة	verbal noun of مَارَسَ (mārasa) (form III)	mumārasa
بالضرورة	necessity/ compulsion/ want/ exigency	ḍarūra
تجاوز	to pass by/ to travel past something/ to go beyond	tajāwaza
اللون	color	lawn
بعضها
اتفاقية	treaty/ convention/ agreement	ittifāqiyya
المرور	verbal noun of مَرَّ (marra) (form I)	murūr
الاسلام
بخصوص
البشر	human	bašar
اعلان
يقال		form I
الاعتراف
المثال	verbal noun of مَاثَلَ (māṯala) (form III)	miṯāl
اختبارات
أبدا	forever/ always	ʔabadan
القرارات	plural of قَرَار (qarār)	qarārāt
نفسي	myself	nafsī or nafsiya
اشهر		išhar
مدارس	plural of مَدْرَسَة (madrasa)	madāris
يمنع		form I
الإعلامية	female equivalent of إِعْلَامِيّ (ʔiʕlāmiyy): a female media person	ʔiʕlāmiyya
الامتحانات	plural of اِمْتِحَان (imtiḥān)	imtiḥānāt
سفر	departure/ journey/ travel	safar
أطفال	plural of طِفْل (ṭifl)	ʔaṭfāl
أحلى	elative degree of حُلْو (ḥulw):	ʔaḥlā
النصر	verbal noun of نَصَرَ (naṣara) (form I)	naṣr
وجدت		form I
فوتوشوب
أخذ	to take	ʔaḵaḏa
موسكو	Moscow (the capital city of Russia)	muskū
تدريب	verbal noun of دَرَّبَ (darraba/ “to accustom/ familiarize/…	tadrīb
ترك	to leave/ to relinquish	taraka
المسيح	Christ/ the Messiah (Jesus of Nazareth)	al-masīḥ
أسبوعين
المفتوح	open	maftūḥ
التطبيق	verbal noun of طَبَّقَ (ṭabbaqa) (form II)	taṭbīq
العربيه
الارض		irḍa
المدرب	active participle of دَرَّبَ (darraba/ “to train”)	mudarrib
سمير	a male given name/ Samir or Sameer	samīr
العدوان	assault/ aggression	ʕudwān
جرى	to run (to move quickly on two feet)	jarā
قرر	to fix/ to settle	qarrara
اليهود	definite of يَهُود (yahūd/ “Jews”)	al-yahūd
الخروج	verbal noun of خَرَجَ (ḵaraja) (form I)	ḵurūj
خبراء	plural of خَبِير (ḵabīr)	ḵubarāʔ
فئة	group/ band/ division/ class	fiʔa
بالعمل	to work/ perform	ʕamila
المنتج	product	muntaj
النفسية
الآراء	plural of رَأْي (raʔy)	ʔārāʔ
كمبيوتر	computer	kambyūtar
عرب	to translate into Arabic	ʕarraba
الصوت	a sound (of a thing/ an animal/ and so on)	ṣawt
فساتين	plural of فُسْتَان (fustān)	fasātīn
شيخ	old man	šayḵ
مظلات	plural of مَظَلَّة (maẓalla)	maẓallāt or miẓallāt
ديكور	decor/ decoration.	dīkūr
السينما	cinema	sīnamā
المطلوب	desire/ demand/ wish	maṭlūb
نقدم		form I
آثار	plural of أَثَر (ʔaṯar)	ʔāṯār
وجل	to be in fear/ to be in fright	wajila
مديرية	mudiriyah: an administrative subdivision	mudīriyya
محلية	feminine singular of مَحَلِّيّ (maḥalliyy)	maḥalliyya
فشل	to fail	fašila
السحر	dawn	saḥar
الجمهور	the majority	jumhūr
تجارية
سقوط	verbal noun of سَقَطَ (saqaṭa) (form I)	suqūṭ
أنظمة	plural of نِظَام (niẓām)	ʔanẓima
القراءة	verbal noun of قَرَأَ (qaraʔa) (form I)	qirāʔa
رسمية	female equivalent of رَسْمِيّ (rasmiyy)	rasmiyya
البابا	pope/ patriarch	bābā
اطار
أبطال	plural of بَطَل (baṭal)	ʔabṭāl
العدو
المهدي	Mahdi	al-mahdiyy
الاستفادة
يورو	euro	yūrō
ستي
جهود
تاريخية	historicism	tārīḵiyya
عامل	to do business with	ʕāmala
بقيادة	verbal noun of قَادَ (qāda) (form I)	qiyāda
الشريفين
زرع	to sow	zaraʕa
ومحمد	the Islamic prophet Muhammad	muḥammad
اى
السير	verbal noun of سَارَ (sāra) (form I)	sayr
إمكانية	possibility/ feasibility/ capacity	ʔimkāniyya
كندا	Canada (a country in North America)	kanadā
نيوز
الاحداث
جميلة	feminine singular of جَمِيل (jamīl)	jamīla
مجددا	again	mujaddadan
المطلوبة
مؤسسات	plural of مُؤَسَّسَة (muʔassasa)	muʔassasāt
التخطيط	verbal noun of خَطَّطَ (ḵaṭṭaṭa) (form II)	taḵṭīṭ
التنظيم	verbal noun of نَظَّمَ (naẓẓama) (form II)	tanẓīm
العلامة	sign/ mark	ʕalāma
ندوة	discussion meeting/ seminar/ symposium	nadwa
نوم	to lull to sleep/ to put to bed/ to put to sleep/ to make lie down	nawwama
الزيارة	verbal noun of زَارَ (zāra/ “to visit”) (form I)	ziyāra
خارجية	exterior	ḵārijiyya
الواقعة	event/ incident	wāqiʕa
إعداد	verbal noun of أَعَدَّ (ʔaʕadda) (form IV)	ʔiʕdād
يصبح		form I
المنشآت
التربوية
مجتمع	place of assembly	mujtamaʕ
الجريمة	crime/ transgression/ offense/ fault	jarīma
تفعيل	verbal noun of فَعَّلَ (faʕʕala) (form II)	tafʕīl
شركائنا
اختبار	verbal noun of اِخْتَبَرَ (iḵtabara) (form VIII)	iḵtibār
شحن	to fill/ to load	šaḥana
التونسي	Tunisian (of/ from or relating to Tunisia)	tūnusiyy
الغربي	western	ḡarbiyy
الشبكة	net/ fishing net	šabaka
حلب	Aleppo (the capital city of Aleppo governorate/ Syria)	ḥalab
خليل	a close friend/ an intimate	ḵalīl
وحلول	verbal noun of حَلَّ (ḥalla) (form I)	ḥulūl
ظاهرة	phenomenon	ẓāhira
لعملية	work	ʕamaliyya
الضفة
الراحل
جديدا
الكامل	complete/ full	kāmil
المسيحية	Christianity	masīḥiyya
الشام	Damascus (the capital city of Syria/ an ancient settlement/ the…	aš-šām
تسبب	to be caused by/ to be the result of	tasabbaba
تموز	July/ the 7th month of the Gregorian calendar	tammūz
ث	The fourth letter of the Arabic alphabet/ called ثَاء (ṯāʔ) and…	/θaːʔ/
غيره
التوظيف	employment	tawẓīf
السادسة
موقعنا
بوكس	pussy	kuss
الغير	definite masculine singular of غَيْر (ḡayr)	al-ḡayr
رابطة	association/ league/ union	rābiṭa
الرعاية	care/ support/ custody	riʕāya
حقيقية	feminine singular of حَقِيقِيّ (ḥaqīqiyy)	ḥaqīqiyya
باسيل
بفضل	thanks to	bifaḍli
تهدف	to strut	tahaddafa
علامة	sign/ mark	ʕalāma
ويتم	to be or become an orphan	yatima
تشير		form IV
وقعت		form I
يسمى		yusmā
لتطوير
بحر	verbal noun of بَحَرَ (baḥara) (form I)	baḥr
فعلا	indeed/ in fact/ actually/ really/ practically	fiʕlan
وبعض	some/ part	baʕḍ
البنوك
لدعم	to support	daʕama
الذكرى	remembrance/ recollection/ memory	ḏikrā
لصالح	in good condition/ sound/ whole	ṣāliḥ
الشهداء	plural of شَهِيد (šahīd)	šuhadāʔ
الفرنك
يدعو		form I
اجراء
ورغم	to force/ to compel	raḡima or raḡama
حاول	to try	ḥāwala
وكيف	how	kayfa
بجامعة	university/ academy	jāmiʕa
المريض	sick/ ill (in poor health)	marīḍ
سبحانه
والسفر	departure/ journey/ travel	safar
العيد	feast/ holiday/ festival	ʕīd
لمواجهة
المقدمة	front part/ forefront/ lead	muqaddima
العملاء
الحادث	to converse with	ḥādaṯa
مسيرة	verbal noun of سَارَ (sāra) (form I)	masīra
بمحافظة	verbal noun of حَافَظَ (ḥāfaẓa) (form III)	muḥāfaẓa
أسئلة	plural of سُؤَال (suʔāl)	ʔasʔila
هواتف	plural of هَاتِف (hātif)	hawātif
الحجز	to hold back/ to restrain/ to contain	ḥajaza
تغير	to change/ to be altered	taḡayyara
واللودرات
خطوط	plural of خَطّ (ḵaṭṭ)	ḵuṭūṭ
والرسوم	plural of رَسْم (rasm)	rusūm
تبلغ		form I
الدراسية
شات
مستقبل	future	mustaqbal
تسمح		form I
حدوث	verbal noun of حَدَثَ (ḥadaṯa) (form I)	ḥudūṯ
الفضاء	vast and unlimited space/ empty space	faḍāʔ
تسعى		tasʕā
الهجرة
الاوسط
الأحزاب	plural of حِزْب (ḥizb)	ʔaḥzāb
إفريقيا	Africa (the continent south of Europe and between the Atlantic and…	ʔifrīqiyā
بلاد	plural of بَلَد (balad)	bilād
الرأس	head	raʔs
الروح	spirit (all senses)/ ghost	rūḥ
السفارة	embassy	sifāra
إدارية
الثامنة
النمو	growth	numuww
الكويتية
نهر	river	nahr or nahar
تتحمل		form V
التعبير	verbal noun of عَبَّرَ (ʕabbara) (form II)	taʕbīr
خيارات
جريمة	crime/ transgression/ offense/ fault	jarīma
وصف	to describe/ to depict	waṣafa
فنادق	plural of فُنْدُق (funduq)	fanādiq
الصوتية
الأرشيف	archive	ʔaršīf
مؤشر	indicator/ index/ pointer	muʔaššir
عاد	to return/ to go back/ to come back	ʕāda
جزءا
واجبات	plural of وَاجِب (wājib)	wājibāt
حصلت		form I
المصورة	camera	muṣawwira
آية	sign/ token	ʔāya
شاب	young man/ youth/ adolescent	šābb
اجمل		ujmul
ذي	this (feminine singular of ذا)	ḏī
وذكرت		form I
خلفية	background	ḵalfiyya
الأخضر
دراسات
معدات	equipment	muʕaddāt
وهكذا	so/ thus/ this way/ like this	hākaḏā
السكر	sugar	sukkar
نار	fire	nār
حزيران	June/ the 6th month of the Gregorian calendar	ḥazīrān
ذو	possessor of/ owner of	ḏū
إعلانات	plural of إِعْلَان (ʔiʕlān)	ʔiʕlānāt
وشراء	verbal noun of شَرَى (šarā) (form I)	širāʔ
الريال	riyal (the official currency of Saudi Arabia and Qatar).	riyāl
شقة	apartment/ flat (domicile occupying part of a building)	šaqqa
والصيانة	verbal noun of صَانَ (ṣāna) (form I)	ṣiyāna
شكرا	thanks	šukran
دير	monastery/ convent/ cloister	dayr
نظم	to organize/ arrange/ put in order	naẓama
جيش	verbal noun of جَاشَ (jāša)	jayš
التداول	to confer	tadāwala
عسير	difficult/ hard/ tough
جانبه
أربع	masculine of أَرْبَعَة (ʔarbaʕa/ “four”)	ʔarbaʕ
الاعلانات
رئيسا
كاتبها
درجات	plural of دَرَجَة (daraja)	darajāt
سطح	to spread forth/ to unroll	saṭaḥa
الامريكية
التعليق	verbal noun of عَلَّقَ (ʕallaqa) (form II)	taʕlīq
لعدم	to lack/ not to have	ʕadima
الإداري
كوم	alternative form of كَوْمَة (kawma/ “pile/ stack/ heap”)	kawm
والتنمية	verbal noun of نَمَّى (nammā) (form II)	tanmiya
الخطاب	verbal noun of خَاطَبَ (ḵāṭaba) (form III)	ḵiṭāb
توقف	to stop/ to come to a stop/ to come to an end	tawaqqafa
الصحراء	desert	ṣaḥrāʔ
السودانية
الرواية	verbal noun of رَوَى (rawā) (form I)	riwāya
قالوا		qālū
الابتدائي	initial	ibtidāʔiyy
الممكن	possible	mumkin
فنية	female equivalent of فَنِّيّ (fanniyy)	fanniyya
يدخل		form I
المسلم	Muslim	muslim
مطلع	beginning/ onset/ outset	maṭlaʕ
اثر
الصحفي	journalistic	ṣuḥufiyy or ṣaḥafiyy
الشخصيات	plural of شَخْصِيَّة (šaḵṣiyya)	šaḵṣiyyāt
الحاكم	ruling/ governing	ḥākim
حفظ	to preserve/ to conserve	ḥafiẓa
المشاركين
إسلامية	feminine singular of إِسْلَامِيّ (ʔislāmiyy)	ʔislāmiyya
الكويتي
التفكير
مواقف
منح	to give/ to award/ to grant/ to bestow	manaḥa
عمله
كلا	both	kilā
الانحراف	verbal noun of اِنْحَرَفَ (inḥarafa) (form VII)	inḥirāf
هجوم	verbal noun of هَجَمَ (hajama) (form I)	hujūm
المتنوعة
استقبل	to receive (a person/ radio broadcast/ etc.)	istaqbala
مبادرة	verbal noun of بَادَرَ (bādara) (form III)	mubādara
القرية	any populated area or the community thereof	qarya
أحيانا	sometimes	ʔaḥyānan
مدرب	active participle of دَرَّبَ (darraba/ “to train”)	mudarrib
منصب	post/ position/ office	manṣib
جدول	creek/ brook/ little stream	jadwal
قل	to be few/ to be little	qalla
سلطة	power/ strength	sulṭa
المصالحة	verbal noun of صَالَحَ (ṣālaḥa) (form III)	muṣālaḥa
مزيد	passive participle of زَادَ (zāda)	mazīd
توقيع	verbal noun of وَقَّعَ (waqqaʕa) (form II)	tawqīʕ
تركيب	verbal noun of رَكَّبَ (rakkaba) (form II)	tarkīb
السلطان	power/ strength	sulṭān
الزوار	plural of زَائِر (zāʔir)	zuwwār
الإعلامي
المجانية	feminine singular of مَجَّانِيّ (majjāniyy)	majjāniyya
المكلف
السريع	fast (capable of moving with speed)/ quick (moving with speed)	sarīʕ
وأضافت
الصناعة	verbal noun of صَنَعَ (ṣanaʕa) (form I)	ṣināʕa
تكنولوجيا	technology	teknolōjyā
مصالح	plural of مَصْلَحَة (maṣlaḥa)	maṣāliḥ
كلما	every time/ whenever	kullamā
قليلة	feminine singular of قَلِيل (qalīl)	qalīla
وصفات	plural of وَصْفَة (waṣfa)	waṣfāt or waṣafāt
العقل	verbal noun of عَقَلَ (ʕaqala/ “to be reasonable”) (form I)	ʕaql
يعقوب	Jacob/ Hebrew patriarch also known as Israel	yaʕqūb
عاجل	urgent/ hasty	ʕājil
المشاركات
طائرة	airplane	ṭāʔira
والطفل	child (a minor)	ṭifl
الأدبي
الحمد	to praise/ to commend	ḥamida
وإلى	to/ towards	ʔilā
سابقة	a precedent (a past act used as example)	sābiqa
التسويق	verbal noun of سَوَّقَ (sawwaqa) (form II)	taswīq
تي
الأغاني
لافتا
العمالة
حمل	to carry (to transport by lifting)/ to transport/ to convey	ḥamala
البخاري
تخرج	to graduate (from)	taḵarraja
فكان	to be	kāna
وهنا	here/ in this place	form I
الأسلحة	plural of سِلَاح (silāḥ)	ʔasliḥa
فاز	to win	fāza
ضمان	verbal noun of ضَمِنَ (ḍamina) (form I)	ḍamān
قدرة	verbal noun of قَدَرَ (qadara/ “to be able to”) (form I)	qudra
المتوسطة	feminine singular of مُتَوَسِّط (mutawassiṭ)	mutawassiṭa
الإقامة	verbal noun of أَقَامَ (ʔaqāma) (form IV)	ʔiqāma
حلقات	plural of حَلْقَة (ḥalqa)	ḥalaqāt
رئيسية	feminine singular of رَئِيسِيّ (raʔīsiyy)	raʔīsiyya
تبحث		form I
اقرأ		iqraʔ
العقد	to tie/ knit/ make a knot	ʕaqada
السوريين
رواه
الترم		form I
الفنادق	plural of فُنْدُق (funduq)	fanādiq
المرضى	masculine plural of مَرِيض (marīḍ)	marḍā
أقرب	elative degree of قَرِيب (qarīb):	ʔaqrab
قادة
مئات	plural of مِئَة (miʔa)	miʔāt
الشعوب	plural of شَعْب (šaʕb)	šuʕūb
أنفسهم
ويب
الترجمة	verbal noun of تَرْجَمَ (tarjama) (form Iq)	tarjama
المعروف	known	maʕrūf
يضم		form I
عصر	to press/ to squeeze/ to wring	ʕaṣara
تقل		form I
خلاله
ازياء
ويجب		form I
انهم
اتصل	to be in contact with/ to be connected with/ to be associated with	ittaṣala
المهم	definite masculine singular of مُهِمّ (muhimm)	al-muhimm
قليل	few/ little	qalīl
نطاق	range/ extent/ scope	niṭāq
يحيى	John (understood to be John the Baptist)	yaḥyā
ترجمة	verbal noun of تَرْجَمَ (tarjama) (form Iq)	tarjama
تطور	to develop/ grow larger/ evolve/ be more advanced	taṭawwara
قدمت		form I
معدل	average	muʕaddal
المبادرة	verbal noun of بَادَرَ (bādara) (form III)	mubādara
أمل	to hope for	ʔamala
الحقيقية	feminine singular of حَقِيقِيّ (ḥaqīqiyy)	ḥaqīqiyya
المعرض	place where something appears or is shown	maʕriḍ
العثور
المحتلة
جوال	who roams about much	jawwāl
الإيرانية
هندسة	geometry	handasa
لأول	first	ʔawwal
معركة	battle	maʕraka
العربى	alternative spelling of عَرَبِيّ (ʕarabiyy) (Nile Valley/…	ʕarabiyy
رواد
الصيانة	verbal noun of صَانَ (ṣāna) (form I)	ṣiyāna
الثنائية
اليها
سانت
الثامن
إثر	following on/ immediately after	ʔiṯra
صفوف	plural of صَفّ (ṣaff)	ṣufūf
الدفع	to pay	dafaʕa
مالي	financial	māliyy
الشبكات	plural of شَبَكَة (šabaka)	šabakāt
الملابس	plural of مَلْبَس (malbas/ “garment”)	malābis
الاستقرار	verbal noun of اِسْتَقَرَّ (istaqarra) (form X)	istiqrār
الكتابة	verbal noun of كَتَبَ (kataba) (form I)	kitāba
س	The twelfth letter of the Arabic alphabet/ written in the Arabic…	/siːn/
المقالات	plural of مَقَال (maqāl)	maqālāt
الموظفين
واقع	active participle of وَقَعَ (waqaʕa/ “to happen”)	wāqiʕ
الليلة	tonight	al-laylata
وأيضا	also	ʔayḍan
ارقام
تحول	to shift/ to change/ to become different	taḥawwala
بمشاركة	verbal noun of شَارَكَ (šāraka) (form III)	mušāraka
الشامل
أسرة	family	ʔusra
النسخة	copy	nusḵa
يعلن		form IV
شعار	password/ watchword	šiʕār
يعيش		form I
مستقلة	feminine singular of مُسْتَقِلّ (mustaqill)	mustaqilla
الأساسي	fundamental/ basic	ʔasāsiyy
عدسات	plural of عَدَسَة (ʕadasa)	ʕadasāt
الجنس	a kind/ a variety/ a breed	jins
يجد		form I
تواجه
وحده
المخدرات
كرسي	chair/ seat	kursiyy
عاصمة	capital city	ʕāṣima
التعليمي
طويل	long/ tall	ṭawīl
تسجل		form II
مستويات
الإجمالي	comprehensive/ general/ total	ʔijmāliyy
اثار
لتقديم	verbal noun of قَدَّمَ (qaddama) (form II)	taqdīm
نهائي	final	nihāʔiyy
الحاسوب
سان
اقتصادية	feminine singular of اِقْتِصَادِيّ (iqtiṣādiyy)	iqtiṣādiyya
ولكنها
طبيعية	female equivalent of طَبِيعِيّ (ṭabīʕiyy)	ṭabīʕiyya
اولى
باتجاه	verbal noun of اِتَّجَهَ (ittajaha) (form VIII)	ittijāh
الجو	air (the apparently open space above the ground)	jaww
تشحن
هواة
الفكرية
زوجته
فني	to perish/ to pass away	faniya
المنازل	plural of مَنْزِل (manzil)	manāzil
نساء	longevity/ long life	nasāʔ
متى	when (at what time?)	matā
المقدس
يلي		form I
مشترك	participant/ subscriber	muštarik
سماحة	verbal noun of سَمُحَ (samuḥa) (form I)	samāḥa
رياضية
معتمد	active participle of اِعْتَمَدَ (iʕtamada).	muʕtamid
الشروط	plural of شَرْط (šarṭ)	šurūṭ
قصيرة	female equivalent of قَصِير (qaṣīr)	qaṣīra
الاوروبي
نشرت		form I
النقابة	verbal noun of نَقُبَ (naquba) (form I)	niqāba or naqāba
إصدار	verbal noun of أَصْدَرَ (ʔaṣdara) (form IV)	ʔiṣdār
المهرجان	festival/ fair	mihrajān or mahrajān
غيرها
الطرفين
مرسوم	passive participle of رَسَمَ (rasama)	/mar.suːm/
طبيعة	nature/ quality/ essence	ṭabīʕa
النووية	feminine singular of نَوَوِيّ (nawawiyy)	nawawiyya
الجميلة	feminine singular of جَمِيل (jamīl)	jamīla
الإرهابية	terrorism	ʔirhābiyya
التوصل	to obtain access [with إِلَى (ʔilā) ‘to something’] (through…	tawaṣṣala
قصائد	plural of قَصِيدَة (qaṣīda)	qaṣāʔid
خرج	to move [with مِنْ (min) ‘from inside’] (somewhere) to outside/ to…	ḵaraja
الصرف	to turn	ṣarafa
رائع	terrifying/ frightening/ awe-inspiring	rāʔiʕ
