何	what
ピアス	piercing (especially ear piercing)
アビゲイル
国連	clipping of 国際連合 (Kokusai Rengō/ “United Nations”): the UN
家内	(one's own) wife
群衆	crowd/ throng
講義	lecture
交信	telecommunication
光景	scene/ sight
使者	herald/ messenger
概念	concept/ general idea
組み立て	assemble/ construct
乗船	embarkation of a vessel
過程	process
旧友	old friend/ crony
傾向	inclination/ tendency
浅野	a surname
結合	combination/ coupling/ binding/ bonding
単語	a word/ a shortest part that means something in a sentence
徹信
平凡	mediocre/ ordinary
解体	demolition
移民	immigrant/ emigrant (a person)
閉店	closing a shop at the end of business hours
常務	everyday business/ everyday duties
見分け	distinguishing/ telling apart
取り付け	install/ furnish
補助	help/ aid
窮地	predicament/ quagmire
策略	trick
運べ	to convey/ transport/ move
敵対	enmity/ hostility/ enemyship/ antagonism
ジョシュア
丈	jō/ a traditional Japanese unit of length based on 10 shaku/…
助け合
設立	establishment/ foundation/ incorporation
楽勝	easy victory
グレアム
国土	realm/ country/ land
平均	average/ mean
教訓	lesson/ teaching
読書	the act of reading
備後	Bingo Province/ an old province of Japan/ now eastern Hiroshima…
調理	cooking
過	mistake
上品	sophisticated/ cultured
オーストリア	Austria (a country in Central Europe)
独占	monopoly/ exclusive possession
片付
ダンブルドア
食品	food/ foodstuff
丁	leaf/ block/ classifier for cake
上空	the skies/ the air high above
指摘	indication/ identification
上官	a senior officer
復元	restoration
断言	assertion/ declaration
容器	container
男達
王家	royal family
点け	to be lit (e.g. electricity comes on)/ to be lighted/ (of a…
真っ直ぐ	straight/ direct/ right
対面	an interview/ meeting
一旦	once
所在	whereabouts/ location
措置	measure/ step
アデル
人手	a starfish/ a sea star
クライアント	client (person who receives services from professional person)
振動	oscillation/ vibration
罪人	criminal/ offender/ culprit
地雷	land mine
撃ち殺
照準	one's aim/ a sight at something
両	both
独自	independent/ separate from others
新品	new article
社交	social interaction
名刺	business card/ calling card
分解	disassembly/ breaking down
アンドレ	a transliteration of the French male given name André
感知	perception
発展	development
教官	instructor
校	school building
牧場	livestock farm/ ranch
シリア	Syria (a country in West Asia in the Middle East)
景色	scenery/ scene/ landscape
却下	rejection
ユーモア	humour (UK)/ humor (US)
物体	physical object/ object/ body
基礎	base/ basis/ foundation/ ground/ root
玉座	a throne (ornate seat)
重罪	serious crime/ felony
決勝	final
該当	corresponding/ applying to/ coming under
向かい	to face
収入	income/ earnings/ receipts
元老	elder statesman
学習	studying/ learning
発動	putting a machine into operation
一連	a series/ a chain of something
防弾	being bulletproof (capable of withstanding a bullet)
切り離
乗員	crew member on a vehicle or vessel
迷路	maze/ labyrinth
アップロード	an upload
入国	entry into a country
同期	same period/ same time/ synchronous
アナベル
探査	exploration/ usually scientific exploration
政策	policy
長者	elder/ senior/ a virtuous person
引き返
後継	succession
資源	resources
法則	A statement that is true under specified conditions/ law.
美女	a beautiful girl or woman/ a beauty
目当て	aim/ purpose
乱	chaos/ disorder
認証	certification (act or process of certifying)/ confirmation
宝物	treasure/ treasury
自覚	"higher mind": one of the three divisions of the Noble Eightfold…
適任	suited/ competent/ qualified
妥協	compromise/ settlement
視界	field of vision
名義	name
商人	trader/ shopkeeper/ merchant
近道	a shortcut (a path between two points that is faster than the…
気配	appearance/ sign/ hint/ air/ promise/ shadow or presence
要望	a request (of something the speaker wants to be done)
当	or/ alternatively/ otherwise/ furthermore/ also
パイア
先輩	a person who entered one’s school earlier
指定	naming/ designation/ specification
響	echo/ resonance/ reverberate
愛し合
画	picture/ drawing/ painting
豪華	splendid/ luxurious/ gorgeous/ magnificent
不気味	uncanny/ ominous
安置	enshrinement/ ensconcing/ rest (of dead body)
フロア	floor
アメリア
横たわ
終身	a lifetime/ a whole life
生死	life and death/ dead or alive
無傷	without injury: unhurt/ unscratched/ unscathed/ undamaged/…
アルフレッド
大勢い
出世	success in life
通り過ぎ	to go past
アイアン	an iron (type of golf club)
行儀	manners/ behavior
予期	expectation
職人	craftsperson/ artisan/ worker
豊富	plenteous/ abundant/ ample/ bounteous/ rich
別荘	villa (a house used as a retreat)
属	class/ category/ type
定期	fixed period
機体	fuselage/ airframe
食物	food in general/ provisions
足止め	inducing someone to stay/ keeping someone from leaving
手入れ	maintenance/ care/ repairing/ mending/ trimming
長期	a long period/ long-term
同居	coresidence
空中	midair/ the air/ the sky
対立	opposition
協会	association/ organization
防備	defensive preparations against military threats
鑑定	appraisal
其処	That place/ area/ or part near you. (near the addressee)
酒場	a bar/ a saloon/ a pub
靴下	socks
総	general/ overall/ total
無能	incompetent/ untalented
育ち	to be raised/ to grow up
着用	wearing clothing or headgear
株式	stock (in a company)
持ちこたえ
経由	going via/ by way of
夜間	nighttime/ at night
休息	rest (any relief from exertion)
家畜	livestock/ domesticated animals/ domestic cattle
知人	acquaintance (person or persons with whom one is acquainted)
上陸	landing/ coming on shore
アルマ
撤回	withdrawal/ revocation/ retraction
ミリアム
工事	construction work
落下	falling/ a fall
預言	prophecy
全面	whole area
乗り切
続行	continuing/ keeping doing
本音	words stemming from one's true feelings
倫理	ethics
早速	immediately/ promptly
高め	to raise/ lift
投獄	imprisonment
薬品	drugs/ medicines/ chemical substances
体調	a person's physical condition/ (physical) shape
大いに	very/ greatly
清掃	cleaning
本番	the real thing (of an event or action)/ getting serious
取り掛か
融合	combination/ fusion/ merger
居所	dwelling
発行	issue/ publication
持ち物	possessions at the moment
よそ者	outsider
改良	amelioration/ improvement/ betterment
アーチー
手動	worked by hand/ hand-powered
中東	Middle East (the geopolitical region at the intersection of Asia/…
放出	release/ emission
風船	balloon
対戦	competition/ especially facing a team or opponent in sports
好物	one's favorite food/ favorite thing
火傷	a burn (caused by heat)/ a scald
西村	a surname
アバドン
ああー
役人	official/ civil servant/ public servant/ officer
独特	unique/ peculiar (to someone)
家出	running away from home
アカウント	account
ソフトウェア	software
敷地	site/ premises/ ground
重荷	heavy burden/ heavy responsibility
ピアース
奨学	encouragement to study
アーニー
派閥	faction/ clique
住まい	residence/ dwelling/ one's shelter
アーノルド	a transliteration of the English male given name Arnold
視	to see/ to look/ to watch/ to view/ to observe
打ち合わせ	meeting/ talks/ arrangements
執着	fixation/ obsession
有力	powerful
あくまで	to the end/ to the last/ persistently
視聴	watching and listening/ such as to TV
有り	to exist/ to be/ to have
待ち合わせ	to arrange to meet/ to rendezvous
情け	kind heart/ humanity/ compassion/ affection
実力	merit/ true ability
通じ	to run to/ to lead to
起	to rise/ to wake up
実習	practice/ training/ drill
余分	rest/ remaining
進入	penetration
専攻	academic major
人体	human body
強要	coercion/ a demand
記	statement
度胸	courage/ nerve (as of steel)
企み	to plan/ to scheme/ to conspire
定義	definition
売却	selling off
局長	agency head/ chief/ director
アストラ
出現	appearance/ entrance/ revealing
依然	same (as before)
側面	side (flat surface of an object)
持ち場	post/ a place where a soldier is stationed
長生き	longevity
生体	organism/ living thing/ a living body
支局	branch office
発進	departure
大地	Earth/ firm ground
規制	regulation/ control/ restriction
人違い	mistaking someone for someone else
大型	large size/ large
心得	knowledge of/ knowing something of/ experience in
要員	necessary personnel
臨時	being temporary/ special
ジア
裁き	to judge/ try
手当て	salary/ pay/ compensation/ allowance (e.g. housing allowance)/…
引用	quotation
切り取
大衆	the public
大陸	a continent
楽器	musical instrument
漫画	a drawing or painting made as one pleases without restraint/ such…
一目	a glance/ a look
殺戮	a slaughter/ a massacre
土産	a souvenir
ピア	Pierre (a city/ the state capital of South Dakota/ United States)
リディア
遺言	will (legal document)
身近	near
演じ	play a part/ perform
子孫	descendant/ scion
始動	starting/ activation
城壁	fortress walls/ town walls (walls surrounding a fortress or town)
八	eight/ 8
経緯	warp and woof/ from 経(たて)糸(いと) (tateito) and 緯(よこ)糸(いと) (yokoito)
主役	leading role/ leading part
引き取
親衛
平等	even/ equal
理	reason/ logic (ことわり)
対決	confrontation/ face-off/ showdown
受賞	winning an award
アンソニー	Anthony
文章	a sentence
共感	sympathy
自首	surrender/ the action of turning oneself in
近藤	a surname
曲げ	bend
解き放
疫病	epidemic (widespread disease)
本題	main subject/ main topic
気晴らし
要塞	fortress
結晶	crystal
内密	secret
やり直せ
申し立て	statement
居住	residence
止まり	to stop/ to be stopped
親密	intimate/ close
アクション	action
路上	on the road
ジュリアナ
物件	an object/ an article
丁寧	polite/ civil/ courteous
任命	an appointment/ assignment/ installation/ induction/ or…
引っ越し	moving house
あいつら	they/ those guys
財務	financial affairs/ dealing with one's finances/ finance
放り出
器用	dexterous/ skillful/ handy
最小	minimum/ smallest/ least
口説
成年	legal age/ age (time of life when one attains full person rights)/…
山田	a place name
大半	the greater part/ most of
褒美	reward as a form of praise/ such as from a parent to a child
命中	a direct hit/ bull's eye
児童	pupil/ student (a child who goes to elementary school)
視線	eyes/ gaze/ glance
押し付け	to press against
緑色	the color green
左手	left hand
委ね	entrust/ leave
規定	rule
久美子	a female given name
国務	matters of state/ affairs of state
仕様	means/ method
強姦	rape
指図	orders/ instructions/ directions
演出	production (of a movie/ play/ or musical performance)
起こせ	to wake (someone)/ to get (someone) up
農家	a farming family
立ち止ま
積極	progressive/ active/ positive
寄生	parasitism
子猫	kitten (young cat)
歩き回
私立	private (e.g. institution)
吐き気	a feeling of vomiting/ nausea
リア	rear/ the back or hindmost part
役所	local government office
制作	production
出力	generating power/ output
止血	stopping the flow of blood from a wound/ staunching
評決	verdict
反射	reflection/ reverberation
持ち去
頭部	head (part of the body)
小鳥	small bird/ little bird
同胞	sibling (child who shares common parents)
有機	the state or quality of being organic
アルミン
入隊	enlistment in a military
仕向け
留置	detainment/ custody
居心地	comfort
薬局	drugstore (no prescription required: over-the-counter medicines only)
妥当	proper/ right/ appropriate/ valid
体育	physical education
桜井	Sakurai (a city and neighborhood of Nara Prefecture/ Japan)
人民	the people/ the general public/ the citizens
国中	the interior of a country/ within a country's borders
整備	improvement
あいにく
演習	exercise/ drill
滅多	thoughtless/ inconsiderate/ excessive
王座	throne
三角	triangle
道間
諸島	an archipelago (group of islands)
強大	powerful
愛国	patriotism
アトランタ	Atlanta (the capital city of Georgia/ United States)
手品	sleight of hand/ prestidigitation/ a magic trick
権威	authority
ガーディアン
悪口	speaking ill of people/ verbal abuse
早急	immediate/ prompt/ urgent
力強
アリン
おとぎ話	fairy tale
果物	edible fruit that grows on trees or shrubs/ such as oranges and…
少数	minority
落書き	graffiti/ scribble/ doodle
次長	deputy directorship/ assistant managership
聖杯	the Holy Grail
空爆	aerial bombing
回せ	turn/ spin/ rotate
盛り上が
病人	patient
検問	check
アラーム	alarm (sound)
合体	combination of multiple entities to become one
難民	refugee
雇い主	employer
手当	salary/ pay/ compensation/ allowance (e.g. housing allowance)/…
受け止め	catch or stop a moving object
電磁	electromagnetic
来月	next month
盗品	stolen goods/ stolen property/ loot
通行	traffic/ passage
出張	business trip
呼び戻
同性	same sex
アンテナ	antenna (device to receive or transmit radio signals)
称え	praise
称賛	praise/ admiration
台本	a script for a movie/ TV show/ play/ etc.
先ほど	just now
弁当	food brought on the go
凍結	freezing
別名	alias/ nickname
王族	royalty/ people of royal birth
見張れ	to watch
記入	An entry.
万が一	by any chance/ just in case
アメリカン	an American
自得
上海	Shanghai (a major port city and direct-administered municipality…
反論	objection/ rebuttal/ refutation
一線	one line
口実	excuse/ pretext
北西	northwest
名字	surname/ family name
言い分	what one has to say
除外	exclusion
鳥井	a surname
聖堂	Confucian temple
交流	exchange/ interchange/ intermingling with members of other groups/…
教団	religious organization
広報	public relations/ publicity
連隊	a regiment
炭素	carbon (chemical element)
放て	to fire/ to shoot
万全	perfect/ flawless
並み
自業
戯言	nonsense/ balderdash
アルゴリズム	algorithm
安らぎ	peace/ peace of mind/ calm/ calmness
思い知ら	to realize
病棟	ward (part of a hospital/ with beds/ where patients reside)
物音	some sound/ the sound of something
分別	sorting/ classification
膨大	swollen and large
潔白	pure (free from shame)/ innocent/ blameless
時速	speed per hour
親子	parent and child
小型	small-size/ small/ tiny
読み	to read (look at and interpret written text)
ギア	gear
点検	thorough inspection
顧問	adviser/ counselor/ consultant
楽園	paradise
取り調べ	investigation such as by the police
注入	injection
かあ
浜辺	beach/ seashore
体温	body temperature
支部	branch (chapter)
天皇	an Emperor or Empress (regnant) of Japan
つきあ
毒殺	poisoning
中学	middle school (7th through 9th years overall)
仮面	mask (cover for the face)
住め	to live in/ to inhabit/ to abide at/ to dwell at
アムステルダム	Amsterdam (the capital city of the Netherlands)
義父	a father by moral principles
会員	member
アンド	and
受付	receipt/ reception/ acceptance
屋根裏	an attic
出会え	to meet by chance/ run into
加害	doing harm
審議	conference/ deliberation
アイビー
変換	conversion/ change
個性	individuality/ individual personality/ originality
じゃあまた
製作	manufacture
感傷	sentimentality
横切
如何	why
献身	dedication/ devotion
差し上げ	lift up/ raise
人事	someone else's concern or problem
買い手	buyer
配線	wiring
視覚	vision/ sense of sight
家系	family tree/ parentage/ family line
老師	an old master or teacher
形成	formation
北朝鮮	North Korea (a country in East Asia/ whose territory consists of…
なあに
一撃	a single punch/ a hit/ a blow
好調	favorable/ promising
確定	decision
小銭	small change/ coins
本性	one's inherent nature
口出し	butting in to others' affairs
里親	a foster parent
原始	primal/ primeval
情けな
愛せ	to love
真犯人	the true culprit
団長	leader of a group
壮大	magnificent/ grand/ imposing
無害	harmless/ innocuous
足首	ankle
推進	promotion/ thrust/ driving force
植え	to plant/ raise
改革	reform/ improvement
年金	pension/ annuity
魔物	an evil spirit/ a monster/ an apparition/ a demon
糞野郎	son of a bitch
主催	sponsorship/ staging/ organizing
適用	application of something
アスガルド	alternative form of アースガルズ
食糧	food/ dietary provisions
日焼け	sunburn/ suntan
減少	reduction/ decrease/ fall/ decline
実家	home of one's birth/ one's parents' home
検証	verification
性質	a person's nature or disposition
回答	reply/ response/ answer
開催	holding a conference or event
出向	secondment/ temporary transfer (of an employee)
感激	deep emotion
代金	fee/ payment/ charge/ price
響き	echo/ sound/ reverberation/ noise
応じ	satisfy/ meet
歌え
組め	intertwine (strings and similar)/ cross (one's arms or legs)/…
少尉	the junior 判官 (jō/ “third-in-command”) of the 兵衛府 (Hyōefu) or the…
執事	Steward/ butler.
寺院	Buddhist temple/ wat
次期	the next period/ the next term/ the next administration/ the next…
ケア	care/ attention/ looking after
視点	point of view (a visual point)
辿り着
劇的	dramatic (striking)
悪事	evildoing (evil or wicked act)
埋め合わせ	compensation/ making up (for something)
致死	mortal/ lethal/ fatal
発音	pronunciation
火薬	gunpowder
ヴィジュアライズ
不潔	unclean/ filthy
戦死	death in war
半径	radius
西側	west side
祖先	ancestor
介入	an intervention
西部	the western part/ the region in the west
下院	a lower house
限定	limited
原	cause/ origin
作り上げ	to make up/ to fabricate
そりゃあ	that's
気違い	madman/ lunatic
正午	noon/ midday
酸化	oxidation/ oxidization
階下	downstairs
検知	detection
象	elephant
傷付け
下品	beastly/ primitive
休日	holiday/ day off
大阪	a placename/ especially:
企画	planning/ a plan/ a project
気温	air temperature/ atmospheric temperature/ ambient temperature
手本	a model/ an example
一夜	one night
ダイアン
気まず
連れ出せ	to take (someone) out (for a walk/ on a date)
衛兵	guard
後半	second half
アルメイダ
取り乱
無知	ignorant
蘇生	restoring consciousness/ breathing/ or vigor/ resuscitation
森田	a surname
通せ	to let through/ to let pass
観念	idea/ concept
立ち直
気取
都会	a city/ urban area/ town/ etc.
今月	this month
雑音	noise
統計	statistics
気取り	affectation/ pretension/ being conceited
分裂	division/ split/ breakup
心地	a feeling/ mood/ sensation
言い聞かせ	persuade/ instruct
金塊	gold nugget/ gold ingot/ gold bar/ gold bullion
拘置	detention
アプリ	clipping of アプリケーション (apurikēshon/ “application”): an app
過小	too small
牢屋	prison
保留	hold/ suspension
傷口	an open wound
呼びかけ
制圧	suppression/ mastery/ control
アラブ	an Arab person
落ち合
アップル	an apple
健全	healthy/ sound
引き寄せ	to draw or pull something towards oneself
ああっ
キックアス
売女	prostitute
一味	clan/ partisans/ conspirators/ gang/ crew
引き	to pull (something toward oneself)
引き抜
配備	deployment
防げ	to defend against
勝ち目	shot at winning/ chances/ odds
至る所	everywhere/ throughout there/ across there
勝ち取
農民	farmer
水道	water service/ water supply
天然	being natural
美容	beauty (especially of a person's face or body)
向上	improvement/ progress
船員	a sailor/ the crew
工	craftsman/ artisan
出航	sailing/ a ship casting off
愛想	courtesy/ civility
結びつけ
ジョージア	Georgia (a transcontinental country in the Caucasus region of…
天候	weather
導き	to guide/ to conduct
工業	industry
消費	consumption/ expenditure
手前	position that is just in front or before/ in the nearer position
隙間	crevice/ crack/ gap
領事	consul
発揮	exhibition/ display/ manifestation
アリゾナ	Arizona (a state in the southwestern United States/ established 1912)
暗示	hint/ implication/ intimation/ suggestion
規律	discipline/ order
復旧	restoration
リリアン
ジョアン
岩崎	a surname
健太郎	a male given name
不滅	immortal/ indestructible
エイドリアン
書斎	a reading room/ a study/ a den
アーヤ	ayah
成分	ingredient
画家	painter
洪水	flood
台詞	a performer’s lines
手帳	a small hand- or pocket-sized notebook/ especially a diary or schedule
決闘	duel
理屈	logic/ reasoning
原稿	manuscript/ script
水中	underwater
言い争
毎月	every month
北東	northeast
公聴
人目	an attention/ observation/ public notice
用語	terminology/ jargon
無数	innumerable/ countless
忘れ物	lost article/ something forgotten
アール	The name of the Latin script letter R/r.
引き続
単位	unit of measure
アイランド	island
防護	protection
住居	dwelling/ house/ residence/ address
不可欠	indispensable/ essential
聖人	a term used to refer to Buddha or a bodhisattva
気まぐれ	capricious/ fickle/ flakey
シェア	sharing/ division/ allocation
最上	best
毒物	poison/ toxic agent
出資	investment (contribution of money)
アルビン	a transliteration of the English male given name Alvin
突っ立
淑女	lady
目玉	eyeball
基	cause/ origin
急速	quick/ rapid
小隊	a platoon
元帥	a marshal
各地	many places/ everywhere/ all over
獅子	synonym of ライオン (raion/ “lion”) (big cat Panthera leo)
不可解	incomprehensible/ mysterious/ baffling
返済	repayment/ reimbursement/ return of a loan
関わり	involvement/ relation
体力	bodily strength/ physical power/ stamina
アル中	clipping of アルコール中毒 (arukōru chūdoku/ “alcohol addiction”)
アザ
同一	identity/ sameness
灰色	gray (color)/ an ashen color
気持	a feeling/ sensation/ feelings
処罰	a penalty
アレクス
改めて	again
教科	subject/ curriculum
鳴き声	a cry of an animal/ corresponding to many words such as baa/…
挑発	provocation
家政	housekeeping
行進	march/ parade
貫通	penetration
身柄	body of that person
見学	inspection
示唆	implication
発達	development
等し
やり直し
一面	one side
騒音	noise/ disorder
消耗	dissipation/ exhaustion
機材	mechanical equipment/ machinery/ mechanical materials
複製	duplication
岸川	a surname
漁師	a fisherman (someone who fishes as a livelihood)
関節	joint
基金	fund
領土	territory/ realm/ dominion
一夕
花木
任意	arbitrary/ as one wants or thinks
走り回
惨事	terrible accident/ disaster
条	paragraph
アソコ
手元	area around the hands
国税	national tax
言及	reference/ mention
手足	hands and feet/ arms and legs/ limbs
所長	chief of a 所 (sho) – office (事務所)/ research facility (研究所)/ etc.
下げろ	to hang/ lower
急行	rushing/ hastening
気遣い	to feel apprehensive about/ to worry about/ to be concerned about
抗生
車庫	garage (for cars/ etc.)/ depot (for trains/ etc.)
活発	active/ vigorous/ spirited/ perky/ vivacious
敏感	sensitive
試作	trial production
和平	peace (ending a war)
精子	a spermatozoon/ a sperm cell
縄張り	territory (area occupied exclusively by a certain entity or entities)
広め
活性	activity
認知	recognition
植民	colonization
若造	a young or inexperienced person
初心	innocent
台湾	Taiwan
小児	young child/ infant
認可	permission/ license/ clearance
退役	retirement from the military
あんま	clipping of あんまり (anmari)
光線	a ray of light
大昔	very distant past
取り合
代替	substitution
割り当て	to assign/ to disseminate or give a task or agenda
あの世	the world of the dead/ the otherworld
振り回
シアトル	Seattle (a city in Washington/ United States)
配慮	consideration/ attention/ care
詩人	poet
アインシュタイン
刺青	a tattoo (an image made in the skin with ink and a needle)
乱れ	to be confused/ to be disordered
刑期	prison term
車輪	wheel
広ま
消え去
結びつ
召し上が
ペア	a pair
莫大	enormous
巡回	going around
過ぎ去
多田	a surname
墓場	a graveyard/ a cemetery
交戦	war
アマ	an on-the-spot maid who was hired in Japan or China by foreigners
業績	performance/ achievement/ results/ track record (in business/…
離脱	exit/ secession
南側	south side
連鎖	a chain/ a connection of things to one another
適応	adaptation/ the quality of being suited to some condition or…
仲谷	a surname
使い捨て	disposability/ (intended to be) able to be used only once
達人	a master/ an expert
王位	the throne
学園	academy (college or university)
主婦	housewife/ female homemaker
電灯	light/ electric light
結成	organization/ formation
立ち上げ	to boot up (a machine/ especially a computer)
客人	caller
化石	a fossil
宿命	destiny
無理やり	forcibly/ by force
万一	perhaps
中間	middle/ midway
在庫	inventory/ stock
総合	synthesis/ consolidation/ integration
学期	school term/ trimester/ semester
問い合わせ	inquiry
停車	stopping/ halt (of a train or vehicle)
ウィリアムズ	Williams
透視	seeing through
マニュアル	a manual book or booklet
加担	participation (usually in a bad thing)/ complicity/ conspiracy
生理	short for 生理学 (seirigaku/ “physiology”)
伊賀	Iga (a city in Mie Prefecture/ Japan)
休戦	armistice/ truce
見回
君主	a monarch
米軍	United States armed forces
戦艦	battleship (warship)
消毒	disinfection
治癒	complete healing (of an injury)
伝達	transmission
満月	full moon
親族	relative/ relation/ kin
アルバム	photo album
総理	Prime Minister/ often in conversation. abbreviation of 内閣総理大臣
人助け
上層	upper stratum
企て	to plot/ to plan/ to devise/ to scheme
無法	unreasonable/ outrageous
金貨	gold coin
適合	conformity/ adaptation/ suitability
来客	visitor/ company
同類	same type/ same kind
実施	practice/ execution/ enforcement/ putting into effect
フィラデルフィア	Philadelphia (a city in Pennsylvania)
あい	mutual/ together/ each other
強引	coercive/ forceful/ pushy/ aggressive/ strong-arm
誓約	an ancient form of divination or fortunetelling found in the Nihon…
方面	direction
動力	motive power (power that enables something to move)
一刻	stubborn
騒動	riot/ stir/ commotion/ fuss/ turmoil
誤魔化
存続	continuation in existence
シリアル	serial
大聖
持ち歩
搬送	transportation/ conveyance
子息	son
特許	letter patent/ patent
あわせ	causative of 合う (au)
確立	establishment
用い	to use/ make use of/ utilize
一定	something that is set one way and will not change/ something that…
番人	watchman/ guard
調教	training of animals
投げろ	to throw
エアコン	clipping of エアコンディショナー (ea kondishonā/ “air conditioner”)/ an AC
つま先	toetip (end of a toe)
陽気	cheerful/ lively/ merry
不意	abrupt/ unexpected/ sudden
葉巻	alternative spelling of 葉巻き
投げ出
成り行き	the course of events
元カレ	ex-boyfriend
レア	rare (cooked very lightly/ chiefly of beefsteak)
動転	extreme astonishment
あだ名	a nickname
道理	reason/ logic/ sense/ principle
南西	southwest
アントン	a transliteration of the English male given name Anton
射程	range of a firearm
ベア
機動	rapid military maneuver
自力	by oneself
法務	legal or judicial work/ legal affairs
中華	product that is made by Chinese company
手先	fingers
グロリア	gloria (fabric)
ありか	place where someone or something is/ location/ whereabouts
肉屋	butcher (a person who prepares and sells meat)
不当	unjust/ unfair/ invalid
施	to give
各自	each person/ everyone
根本	basis/ foundation
送り返
仕組み	construction/ structure
一口	eating or drinking all of something by taking it into the mouth at…
小娘	little lady/ young lady/ young (teenage) girl
焦点	focal point
長引
電流	electric current
星系
素性	feature
専念	concentration/ focus
旅立	departure on a trip/journey/ setting off/ embarking
取り残
有益	helpful/ beneficial/ constructive/ useful
総省
手数	effort/ trouble
無口	reticent/ untalkative
間近	near/ close
射手	an archer/ a bowman
協議	consultation/ conference/ deliberation/ discussion/ negotiation
後戻り	turning back
服用	taking medicine
有害	harmful/ nocuous
リーアム
一人ぼっち	loneliness/ solitude
混合	mixture/ blend
速やか	speedy/ prompt
経費	expenses/ cost
血統	pedigree/ blood/ stock
食器	tableware
実感	actual feeling
聞き出
アヒル
素材	material for making something such as food/ web page/ art/
アッラー	alternative form of アッラーフ
頑丈	strong/ sturdy/ indestructible/ hardy
火葬	cremation
村人	villager
減速	deceleration
半端	odd/ incomplete
溺死	drowning
中立	neutrality
代役	stand-in/ substitute
消化	digestion
幼児	baby/ infant
移住	immigration
由梨
不吉	inauspicious/ ominous
吸引	suction
促進	promotion/ the act of expediting
擁護	protection/ defense/ championship
結び	a tie/ a knot/ a bow
入札	bidding
類似	similarity/ resemblance/ the fact of being an analogue/ the fact…
空き	room/ space
行使	the use of power or authority
敗者	loser
面談	interview
親権	child custody (rights and duties a parent has with respect to…
国籍	nationality/ citizenship of a country
朝飯	breakfast
パトリシア
勘定	calculation
ヴィヴィアン
思い当た
電報	telegram
生まれつき	since birth
切開	incision/ section
光速	the speed of light
見上げ	to look up at
罰金	a fine/ a (monetary) penalty or punishment
流血	bloodshed
名乗り出	to come forward/ to announce oneself/ to present oneself/ to step…
あァ
同席	sitting with someone
順位	order/ rank/ precedence
応用	application
頭取	president of a bank
手出し	meddling/ interference
球	any spherical or similarly-rounded object:
分かち合
重傷	serious wound
横断	crossing/ traversing/ intersecting/ especially across the width…
見送
ヘア	hair
預金	deposit (money placed in an account)/ bank account
前例	precedent
万事	all/ everything
往生	death/ dying a happy death
交際	association/ relationship
娯楽	entertainment/ amusement/ recreation
狂信
長旅	long trip/ long journey
清め
人前	the public
威力	power
毒素	toxin
向う	the other side/ the opposite side/ across
アダムス
司教	bishop
ボルチモア
消し去
榎本	a surname
仕立て	tailoring/ dressmaking
日光	sunlight
遺書	a letter or note left by one immediately before death/ a suicide note
情	mind/ heart/ spirit/ soul/ thoughts/ ideas
接点	a point of tangency
アストリッド
取り下げ
品質	quality
具	sets (armor/ furniture)
登れ
九	nine
治安	public order
アキレス	alternative form of アキレウス (Akireusu/ “Achilles”)
出国	exit from a country
道化	buffoonery
転校	changing school
勇者	hero/ brave soul/ warrior
足音	sound of footsteps
配属	assignment/ posting/ deployment
引きつけ
アフガン	clipping of アフガニスタン (Afuganisutan): Afghanistan (a landlocked…
欧州	Europe (a continent located west of Asia and north of Africa)
本土	mainland (as opposed to outlying territories)
水素	hydrogen (chemical element)
最速	the fastest
抹消	erasure
積荷	a load/ freight/ goods/ a cargo/ loading
終結	end/ conclusion
有望	promising/ bright
アドレナリン	adrenaline
地中	underground
旋回	revolution/ rotation/ turning/ swiveling/ circling
っ子
泣き声	cry/ crying voice
懐中	one's pocket
アッ	ah!/ oh!
磁気	magnetism
人狼	a werewolf
黒崎	a surname
脚本	script (text of the dialogue and action for a drama)
主導	leadership
出生	birth
三木	a place name/ such as that of Miki City in Hyogo Prefecture
福祉	welfare/ well-being
由美子	a female given name
保て	to keep up/ to retain
貯金	putting money aside/ savings/ deposit
無縁
送還	repatriation/ deportation
短気	quick-tempered
懸賞	prize contest
回れ	to turn/ to revolve/ to spin
あれこれ	this and that/ all sorts of things
連盟	federation/ alliance/ association/ league
無断	without permission/ without notice
布	cloth
アロン	Aaron
当事	the matter directly concerned
及ぼ
全域	the entire area/ the area throughout
縫合	suturing/ suture
一息	a (single) breath
寿命	age (whole duration of a being)/ lifespan
師団	a division
でっち上げ
標識	sign/ mark
アンダー	under
得点	score/ points gained
投入	insertion
発掘	an excavation
記述	description
手強
人身	the human body
手榴弾	a hand grenade
身代わり	substitution (for someone else)/ stand-in/ scapegoat
感電	an electric shock
開拓	reclamation of land/ cultivation of farmland/ development of resources
船体	ship's hull
清潔	clean/ hygienic
分割	division
同級
ブライア
集結	concentration
ひと言
線路	railroad track
自供	confession
事例	case/ example
自家	one's own house
生贄	sacrifice/ offering (to a god)
片手	one hand (as opposed to two/both hands)
建造	construction
アハハ
半数	half the number of some whole
運用	making use of/ application
条約	treaty
改装	renovation
大いなる	large/ big
やり取り	back and forth (of items/ of discussion)/ exchange
消息	word (news/ tidings)
領収	receipt/ usually of money
有毒	poisonous
作曲	composition
当選	victory in an election
亭主	household head/ master/ host
当初	the initial/ the beginning/ the original/ at first
浮上	surfacing/ rising to the surface (e.g. of a submarine)
呼ばわり	stem or continuative form of よばわる (yobawaru)
統一	unification/ consolidation
出場	appearance on stage
手始め
限度	limit/ bound
