de	of (expresses belonging)
maisons	house
voisins	neighbouring/ neighboring
dites-lui
deviens	to become
sage	wise: prudent/ cautious/ and judicious
crédit	credit
ambulance	ambulance (emergency vehicle)
gamins	street urchin/ street kid
fière	proud/ gratified/ honoured
tourné	to turn (left/ right etc.)
puce	flea
finie	past participle of finir
canon	cannon/ (big) gun
liquide	liquid (existing in the physical state of a liquid)
devine	to guess/ to work out/ figure out
particulier	particular
prennent	to take
traverser	to cross/ to go across
rues	street/ road
park
criminel	criminal (against the law)
cependant	meanwhile
sombre	dark
agence	agency
comportement	behaviour/behavior/ demeanour/demeanor
artiste	artist
bosser	to work/ labour/ do a day's work
gouverneur	governor
paroles	speech/ language (the faculty of using spoken language to…
résoudre	to resolve (to find a solution to)
chut	to fall
période	period/ as in interval of time
bat	third-person singular present indicative of battre
seraient	to be
bébés	baby
cherches	to look for/ to seek
e	The fifth letter of the French alphabet/ written in the Latin script.
croyez-moi
donnes	to give/ to transfer the possession/holding of something to…
préparé	to prepare
soucis	worry/ concern
traiter	to treat (someone) (a particular way)
street
différente	different
reconnais	to recognise (something or someone that one has encountered before)
bye	bye
pourriez-vous
fromage	cheese
essence	essence
ayant	to leave/ to absent oneself
côte	rib (bone)
tenté	to attempt
chaleur	heat
tests	test/ a cupel or cupelling hearth in which precious metals are…
champagne	Champagne (a cultural region and former province of France/ the…
objet	thing/ object
ouai
disparaître	to disappear
oiseaux	bird
re	abbreviation of Renaissance
europe	Europe (a continent located west of Asia and north of Africa)
supposé	to suppose/ to think/ to reckon/ to surmise
supplie	to implore/ to beseech/ to beg
tournée	past participle of tourner
résultat	outcome/ result
roger	a male given name/ from Old French Rogier (itself from Old…
concernant	to concern (be concerned with/ be associated with)
vérifie	to verify
souffrir	to suffer
occupée	busy
fusil	rifle/ gun
gardien	guard (someone who keeps guard of something)
déranger	to bother/ to disrupt
verrai	to see (visually)
fatiguée	past participle of fatiguer
vote	vote
dégagez	to free (someone or something)
anciens	old/ former/ ex- (no longer current)
voila	third-person singular past historic of voiler
tués	past participle of tuer
forcément	inevitably
cadeaux	present/ gift
herbe	grass (the plant)
b	The second letter of the French alphabet/ written in the Latin script.
menteur	liar (one who tells lies)
vivante	alive
riches	plural of riche
vive	alive
sacrée	sacred/ holy
taylor	a surname from English
adulte	adult
siècle	century (period of 100 years)
attente	wait (the time that one is waiting or the state of waiting)
endroits	place/ spot (specified area)
écris	to write
rapports	ratio
piscine	swimming pool
rentrez	to go back/ to re-enter
lendemain	the day after/ the next day/ the morrow
fumer	to smoke
concours	competition/ contest/ competitive examination
ment	to lie (say something untrue)
monté	to go up/ to climb (go to a higher position)
passait	to go past
vous-même	yourself
inviter	to invite
coach	coach/ trainer/ instructor
fausse	false/ untrue
élevé	to raise
chair	flesh
magique	magic/ magical
chaîne	chain
chèque	cheque
réseau	network
enfance	childhood
mensonges	lie/ falsehood
pourrions	can/ to be able to
choisis	to choose
taire	to be quiet/ to be silent
inquiet	worried
enfuir	to escape (somewhere)
bel	form of beau used before a masculine noun that starts with a vowel…
profiter	to take advantage of/ make the most of/ enjoy
science	science (field of study/ etc.)
revenue	a (physical) return/ arrival
billet	note/ a brief message
crâne	skull/ cranium
jaloux	jealous
tien	your/ belonging to you (singular)
arrestation	arrest (“The act of arresting a criminal/ suspect/ etc.”)
laver	to wash
nuits	night
caisse	box/ crate
scientifique	scientific
russe	Russian
cris	cry/ shout/ scream
traité	treatise
attaqué	to attack
écoutez-moi
montez	to go up/ to climb (go to a higher position)
sean
promesse	promise (all meanings)
sénateur	senator
blessures	wound
sucre	sugar
murs	wall
attrape	to trap (to capture in a trap)
représente	to represent (to be the representative of)
emma	a female given name/ equivalent to English Emma
esprits	immaterial or incorporeal substance
cloche	bell (metal apparatus used to produce sound)
phil	a diminutive of the male given name Philippe
cia	CIA (Central Intelligence Agency)
réputation	reputation
étudier	to study
trompe	trumpet
chute	fall
jackson	a surname from English
demi	half
devra	must/ to have to/ should (as a requirement)
plainte	past participle of plaindre
grand-chose	a big deal/ something or someone important
tim
joey
sorcière	witch/ sorceress
venant	to come (to move from one place to another that is nearer the speaker)
alan
californie	California (the most populous state of the United States)
tenue	maintenance/ upkeep
journaliste	a journalist
soyons	to be
chouette	owl (specifically/ those species of owls without ear tufts/ those…
karen	Karen (member of an ethnic group in Burma)
aurons	to have/ to own/ to possess/ to get
avocats	lawyer/ attorney
cherchais	to look for/ to seek
angeles
surveille	to monitor/ to survey/ to watch
département	department
abandonne	to give up
prendrai	to take
peinture	painting
refaire	to redo/ to do over/ to do again/ to repeat
honnêtement	honestly (in an honest way)
opinion	opinion (thought/ estimation)
geste	gesture
étais-tu
gaffe	to make a gaffe/ to mess up/ botch up
empire	empire
aient	to have/ to own/ to possess/ to get
pizza	pizza (Italian dish)
seriez	to be
fan	fan (admirer/ supporter)
poitrine	chest/ thorax/ torso
jenny
médecins	physician/ (medical) doctor
remonte	upstream movement (of boat/ fish)
aventure	adventure
réglé	to sort out/ to settle (a problem/ a bill)
mac	clipping of maquereau (“pimp”)
abby	a female given name
barre	bar/ cake/ ingot
foyer	hearth
jean	a pair of jeans
amuse	inflection of amuser:
mener	to lead/ to take
uniforme	uniform (unvarying)
cauchemar	nightmare
soupe	soup
intelligente	intelligent
jus	juice
prêtre	priest
lily
trompé	to deceive/ lead astray/ mislead
chuck
corde	rope (general)
champion	champion
somme	to sum up
conférence	conference
commissaire	commissioner
répondez	to reply/ to answer
attrapé	to trap (to capture in a trap)
red
racontes	to recount/ to tell/ to narrate
deviner	to guess/ to work out/ figure out
recommencer	to restart/ start over/ start again
dis-tu
complet	full/ without room for more
crimes	a category of severe offences within French law/ comparable to a…
maggie
crème	cream
construit	to build
excusez	inflection of excuser:
entraînement	training
centaines	a hundred or so/ about a hundred
calmer	to calm/ pacify/ soothe
joueur	player
couloir	corridor/ hallway
horreur	horror (emotion)
propriété	property (something owned)
admettre	to admit/ to accept/ to recognize
matériel	equipment/ supplies
verrez	to see (visually)
foule	crowd
st	initialism of sous-titrée (“subtitled/ a non-French film with…
réaction	reaction (action in response to an event)
ennuie	to afflict with boredom/ to bore
laura	a female given name
pub	Television ad or advert
hiver	winter
manteau	coat
pis	comparative degree of mal: worse
débile	weak
trouverai	to find/ to retrieve something lost/ turn up something hidden/ or…
conseiller	counsellor/ advisor
humanité	humanity (human beings as a group)
studio	studio (artist's workshop/ recording studio/ one-room apartment/ etc.)
josh
lapin	rabbit
désert	desert
combattre	to fight/ to combat (against)
big	IG (Inspector General) abbreviation of bureau de l'inspecteur…
julie	a female given name from Latin Iūlia/ equivalent to English Julia
boutique	shop/ boutique
fonds	back
voient	to see (visually)
états-unis	United States (a country in North America)
reviendrai	to come back/ to return
ramené	to take back/ bring back/ restore
discussion	debate/ argument (a civil exchange of contradictory points of view)
connaissait	to know (of)/ to be familiar with (a person/ place/ fact/ event)
vegas
sir
fiancée	engaged
remonter	to go back up/ to come back up/ to climb again/ to reclimb
incendie	fire (something on fire which is out of control)
arbres	tree (plant/ diagram/ anything in the form of a tree)
conseils	piece of advice
géniale	ingenious/ characteristic of a genius
messages	message
ex	ex (former partner)
surface	surface
appellent	to call (out)
atteint	to attain
recommence	to restart/ start over/ start again
curieux	curious/ inquisitive/ intrigued/ wondering/ possessing curiosity
lucy
ascenseur	lift/ elevator
mars	March (month)
apprend	to learn
abri	a shelter or refuge against the elements or physical danger
larmes	tear/ teardrop
dites-vous
impliqué	to implicate/ to accuse
répéter	to repeat
pardonner	to pardon/ forgive
donnerai	to give/ to transfer the possession/holding of something to…
soi	Designating or reinforcing a reflexive (direct) object or the…
marine	feminine singular of marin
cadavre	corpse/ cadaver
front	forehead
uniquement	uniquely
traîner	to pull/ drag
rare	rare
permet	third-person singular present indicative of permettre
stan
parking	car park/ parking lot
morceaux	plural of morceau
réussir	to manage to do something
morgan
empêche	to stop/ to prevent/ to hinder
traversé	to cross/ to go across
américaine	of or pertaining to America/ American
hank
décide	to decide
doué	to endow (someone) (de with)
gloire	glory
gang	gang/ group of ill-doer
communauté	community
plaisantes	to joke (make a joke)
déclaration	declaration (written or oral indication of a fact/ opinion/ or belief)
jones	a surname from English
portait	to carry
croient	to believe (someone)
projets	project
frontière	boundary/ frontier/ border
saute	swing
hais	to hate
laissée	past participle of laisser
suivez-moi
prénom	first name/ given name
tenter	to attempt
liaison	link/ bond
cérémonie	ceremony
fasses	to do
vivent	to live
ho	Used by tamers to calm the animal they are taming/ especially…
océan	an ocean (one of the large bodies of water separating the continents)
vélo	bike/ bicycle/ cycle
aimerait	to love (usually of a person/ otherwise the meaning is closer to…
réaliser	to direct (a movie)
poupée	doll (object)
navire	ship
saches	to know (something)
parties	party (social gathering)
patrick	a male given name/ the English form of Patrice/ quite popular in…
remplacer	to replace
prisonnier	prisoner
ménage	housework/ housekeeping
porté	to carry
employés	employee
dépêchez-vous	to send/ dispatch (urgently)
bouton	button
acteur	actress
show	show (entertainment program)
julia	a female given name from Latin/ equivalent to English Julia
mardi	Tuesday
juré	juror (a member of a jury)
barry
médecine	medicine (field of study)
restera	to stay
lourd	heavy
chargé	to load (up) (vehicle/ animal etc.)
au-delà	beyond
survécu	to survive
bite	knob/ cock/ dick
soudain	sudden (happening quickly and with little or no warning)
voyais	to see (visually)
travailles	to work
prévenu	to prevent/ to avert/ to guard against
regardez-moi
baisse	to lower
filer	to spin (a web)
rompu	to break/ to snap
véhicule	vehicle
sauve	to save/ rescue/ to protect
rencontrés	past participle of rencontrer
emmerde	to bug/ bother/ irritate "the shit out of" someone
estomac	stomach
donna	to give/ to transfer the possession/holding of something to…
couvrir	to cover up/ to cover (put a cover over)
meilleures	comparative degree of bon ("better")
rater	to miss (an event or a thing)
terminée	past participle of terminer
fred
tâche	task
réserve	to reserve/ to make a reservation (for)/ to book
brûler	to burn
chou	cabbage
réveille	to awaken
sentez	to smell (to have a certain odor)
ferme-la
réveille-toi	to awaken
etait
origine	origin (start place)
rêvé	to dream
gary
pouviez	can/ to be able to
poursuivre	to pursue/ to chase
actions	action/ act/ deed
tapis	to hide
absence	absence (state of being absent or withdrawn)
lâcher	to release/ to loosen/ to let go
tempête	storm/ tempest
um
souffre	to suffer
touchez	to touch (physically)
cents	hundred
rempli	to fill/ to fill up (make full)
écran	screen
dis-le
victor	a male given name/ equivalent to English Victor
affreux	frightful/ causing fear
enterrement	burial/ interment
inconnu	unknown/ obscure/ unfamiliar/ strange
venger	to avenge/ to take revenge (upon)
team
feriez	to do
sara	Sarah
inventé	to invent (to make something for the first time)
installer	to install
ya
va-t-il
rythme	rhythm
étudiants	student
pratique	practical/ applied (concerning action or intervention of human…
whisky	whisky/ whiskey
calmez-vous
travaillez	to work
ballon	ball
équipage	crew (of a boat)/ ship's company
signes	sign (indicator/ indication/ mathematical polarity)
élèves	schoolboy/ pupil/ student
faites-le
parlera	to speak/ talk
attirer	to attract
récompense	to award
reconnu	to recognise (something or someone that one has encountered before)
irait	to go
loup	wolf
traite	past participle of traire
lâchez-moi
vengeance	revenge/ vengeance
imaginez	to imagine
navré	past participle of navrer
feront	to do
finis	to finish/ end/ complete
propose	inflection of proposer:
forcé	to force
lutte	to struggle/ to fight
opportunité	a state of opportuneness/ fortuity
personnage	character (in a play/ program/ film)
boss	boss (leader)
arrêtes	to stop/ to come to a standstill/ to halt/ to stop from moving
convaincu	past participle of convaincre
allons-nous
accompagner	to accompany/ to escort
essayons	to test/ to try on
limite	limit
panique	pertaining to the god Pan
technologie	technology
brillant	to shine/ to sparkle
king
afrique	Africa (the continent south of Europe and between the Atlantic and…
nourrir	to feed (provide with nourishment)/ nourish
région	region/ area
nathan	Nathan (biblical prophet)
passent	to go past
salaire	salary/ wage
veille	the day before/ the eve
appelle-moi
ceinture	belt (item of clothing)
explication	explanation
chansons	song
profond	deep
professionnel	professional
possède	to own/ to possess
étonnant	amazing/ surprising/ astonishing
venais	to come (to move from one place to another that is nearer the speaker)
casier	locker (for storage)
jouez	to play (engage in games or play)
roman	Romance
sandwich	sandwich (food)
arrives	to arrive (often followed by a location)
nana	chick/ bird (especially when attractive)
nommé	to nominate
incident	incident
retournez	to turn over/ turn upside-down/ (in cooking) to turn
sophie	a female given name/ equivalent to English Sophia
potes	mate (UK)/ buddy (US)
comité	committee
chine	inflection of chiner:
technique	technical
haine	hatred/ hate
identifier	to identify
célibataire	single (without a life partner)
jackie
annoncer	to announce
portée	past participle of porter
fleur	flower/ bloom/ blossom/ collectively/ the reproductive organs and…
roule	to roll
palais	palace
tromper	to deceive/ lead astray/ mislead
lady	lady (wife of a British lord/ important woman/ usually British)
attendait	to wait for/ to await
jeudi	Thursday (day of the week)
abruti	whose physical or mental capacities have been impaired by…
disiez	to say/ to tell (to express through speech)
normalement	in theory
circonstances	circumstance/ situation
appelez-moi
canapé	sofa
sommes-nous
protège	to protect
est-à-dire
affronter	to confront/ face
connait	third-person singular present indicative of connaitre/ post-1990…
élève	schoolboy/ pupil/ student
pêche	to fish
masque	mask (a cover/ or partial cover/ for the face/ used for disguise…
couvert	to cover up/ to cover (put a cover over)
extraordinaire	extraordinary/ out of the ordinary
malheur	mishap/ misfortune
sentais	to smell (to have a certain odor)
royaume	kingdom
porc	pork
envoyez	to send
brûle	to burn
entretien	upkeep (maintenance)
vingt	twenty
objets	plural of objet
gêne	to hinder/ hamper/ bother
bloc	a block (e.g./ of wood)
aidera	to help/ to aid
final	final (last)
conduis	to drive (a vehicle)
excellente	excellent/ splendid
brûlé	to burn
amanda	a female given name
business	business/ firm/ company
sauté	past participle of sauter
trouvent	to find/ to retrieve something lost/ turn up something hidden/ or…
ferez	to do
alarme	alarm (alert)
laisse-le
rencard	appointment
concentrer	to concentrate
étoile	star
engager	to pledge/ commit
singe	to ape
colle	glue
ooh
assistant	present participle of assister
fallu	to need/ have to/ to be necessary (that)
mm	alternative form of MM.
central	central
prisonniers	prisoner
naturel	natural
essayait	to test/ to try on
pardonnez-moi
étape	stage/ stop (on a journey)
cage	cage
davantage	more
alliance	alliance/ union
collègues	colleague
collier	a necklace/ string-shaped jewel worn around the neck
rayon	ray/ beam (of light/ etc.)
correct	correct/ right
jesse
gâcher	to ruin/ spoil/ mar/ wreck/ waste
quant	only used in quant à
assassiné	to assassinate
placard	a cupboard/ cabinet or closet built against or into a wall
soif	thirst
conditions	term/ condition
min
remis	to put back/ replace
russes	Russian
miel	honey (sticky sweet substance)
personnellement	personally
entièrement	entirely
howard
impressionnant	impressive
passes	to go past
créature	a creature/ a living being/ especially seen as the work of the…
black	of black people or culture
lancé	to throw
kilomètres	kilometre
sers	to serve (to help in a shop/ to bring a meal to someone)
échappé	past participle of échapper
parte	to share/ to share out/ to divide
prouve	to prove
associé	to associate
monnaie	change (money back after a transaction)
dean
moque	to mock
voisin	neighbouring/ neighboring
clinique	clinical
tape	a gentle touch
têtes	head (part of the body)
lentement	slowly
classique	classic
temple	temple (for worship)
steven
produits	past participle of produire
passion	Passion/ suffering
prenne	to take
échoué	to fail/ fall through/ miscarry
écouté	to listen
existence	existence
correspond	third-person singular present indicative of correspondre
analyse	analysis
retire	inflection of retirer:
mystère	mystery
maîtresse	master
port	port/ harbour
tension	tension
qualité	quality
nationale	national
respecte	to respect
vierge	virgin
piano	piano
secteur	circular sector (part of a circle/ extending to the center)
espérons	to hope
devoirs	duty
pot	pot/ jar/ vase/ tin/ can/ carton (a container of any of various…
contacter	to contact (all senses)
secrète	secret
dispute	dispute
cigarette	cigarette
manques	to lack/ to be lacking in
bouffe	to eat
jugement	judgment
idiots	idiotic/ stupid
courageux	courageous/ brave/ daring
limites	limit
bibliothèque	library
désir	desire
condition	term/ condition
sales	dirty
courrier	messenger/ courier
volant	to fly through the air
merveilleuse	marvelous/ brilliant
fumée	feminine singular of fumé
chanceux	with good luck/ fortunate
expert	expert
anne	a female given name/ equivalent to English Ann
rick
lève-toi
tasse	cup
poussé	to push
étrangers	foreign
censée	supposed to/ meant to
permettez	to permit/ to allow (to grant permission or access)
hall	hall
approcher	to approach/ to come close to/ to move towards
that
greg
pile	heap/ stack
japonais	the Japanese language
soigner	to treat/ to nurse
urgences	emergency/ urgency
effets	effect
essai	try/ trial
fruits	fruit
yo
remplir	to fill/ to fill up (make full)
commençons	to begin/ commence
miles	mile
donnera	to give/ to transfer the possession/holding of something to…
soins	care
charlotte	a female given name/ a feminine diminutive form of Charles
risqué	risky
avouer	to avow
passés	past tense
épreuve	test
vivants	alive
conduite	past participle of conduire
p	The fifteenth letter of the French alphabet/ written in the Latin…
robin	sheep/ calf
chffffff
découvre	to discover
avantage	advantage (advantageous position)
retenir	to retain/ hold
love	inflection of lover:
miroir	mirror
etat	alternative spelling of État
procédure	procedure
verres	glass (substance)
copie	to copy
jaune	yellow
dames	lady
betty
efforts	effort
proposé	to propose/ suggest
blessée	injured/ wounded
crie	to cry out
voyager	to travel/ to voyage
disque	disc (any flat or nearly flat circular object)
golf	golf
annuler	to cancel (to invalidate/ to annul)
section	section
catherine	a female given name/ equivalent to English Catherine
aube	dawn/ sunrise/ daybreak
précis	Which does not leave doubt/ specific/ explicit
appellerai	to call (out)
doug
etes-vous
lumières	light
helen
briser	to break/ snap
fait-il
vampire	vampire
échec	failure
mexique	Mexico (a country in North America)
figure	face
repose	inflection of reposer:
urgent	urgent
profil	profile
médical	medical
chiffres	plural of chiffre
carrément	squarely/ at right angles (in the shape of a square/ of motion etc.)
pointe	past participle of poindre
is	Ys (a mythical sunken city in Brittany/ France)
interroger	to question/ interrogate
sauce	sauce
séance	session
fiancé	engaged
chaude	warm/ hot
sacs	bag/ sack
vivait	to live
aimerai	to love (usually of a person/ otherwise the meaning is closer to…
alliez	to go
partage	to share
johnson	a surname from English
assise	sat/ sat down/ seated
foot	association football/ football/ soccer
accusation	accusation
bagages	baggage/ luggage
boule	ball/ globe
copains	friend/ chum/ mate (UK)/ pal/ buddy
nu	naked/ nude/ bare
patience	patience (the quality of being patient)
suivez	to follow (literal sense)
criminels	criminal (against the law)
poissons	fish (marine animal)
fermez	to shut
bleue	blue
tyler
égal	equal
organiser	to organise/ to plan an event
œuvre	work/ book/ piece
organisation	organization
moto	bike/ motorbike (motorcycle)
parlerai	to speak/ talk
texas	Texas (a state in the south-central region of the United States)
attitude	attitude/ position
documents	document
étiez-vous
effort	effort
enchantée	enchanted/ delighted
restent	to stay
diriger	to run/ to direct (be the director of)
apprends	to learn
proposition	proposition/ suggestion
pareille	such
terres	earth/ soil
serpent	snake
all
audience	audience/ viewer
info	contraction of information
voyait	to see (visually)
télévision	television
intéressé	to interest/ to make interested
pattes	paw (of animal)
possibilité	possibility
football	association football/ soccer
poison	poison (literal or figurative)
maudit	to curse
cochon	piglet
reconnaître	to recognise (something or someone that one has encountered before)
paire	even (divisible by two)
your
condamné	to condemn
croyait	to believe (someone)
sauvage	wild/ untouched/ unspoiled/ pristine
maximum	maximum
domaine	domain
drogues	drug
poussière	dust
visiter	to visit (a place)
nôtres	our/ ours
policiers	police
rat	rat
ajouter	to add/ append
chambres	a chamber in its various senses/ including:
séparer	to separate
valise	case/ suitcase
idéal	ideal
exprès	express
cooper
empereur	emperor
forcer	to force
vincent	a male given name/ Vincent/ from Latin/ equivalent to English Vincent
juger	to judge/ to try
montagnes	mountain
t-il
printemps	spring (season)
rebecca	Rebekah (Biblical character)
avoue	to avow
oliver
faisaient	to do
allaient	to go
profondément	deeply/ profoundly
aides	help/ support
collègue	colleague
bonbons	sweet/ candy
fantômes	ghost
légende	legend (story of unknown origin describing plausible but…
embrasse	to hug/ embrace (to affectionately wrap one's arms around another)
suffisamment	sufficiently/ enough
disparition	disappearance
suivante	next/ following
commencez	to begin/ commence
poule	hen (female chicken)
semblez	to seem/ to resemble/ to look like
éducation	education (all meanings)
restée	past participle of rester
dragon	a dragon/ creature or person
plaque	sheet/ plate (of metal)
prenons	to take
auparavant	beforehand/ previously
mobile	mobile
peut-il
jamie
elizabeth
malades	ill/ unwell/ sick
molly
invite	inflection of inviter:
musée	museum (a building or institution dedicated to the acquisition/…
connaissent	to know (of)/ to be familiar with (a person/ place/ fact/ event)
elle-même	herself/ itself
bijoux	a piece of jewelry
refuser	to refuse
chers	dear/ honey/ hon
pensée	past participle of penser
andrew
psy	clipping of psychologique (“psychological”)
saurais	to know (something)
adultes	adult
préviens	to prevent/ to avert/ to guard against
appart	apartment/ flat
chasser	to hunt
sable	sand
balance	scales
critique	critical (urgent)
fièvre	fever
irais	to go
terminer	to end/ to finish/ to terminate
brown	a surname from English
monstres	monster
angela
leo
essaies	to test/ to try on
coïncidence	coincidence
charmante	charming
née	feminine singular of né ("to be born")
suggère	to suggest/ propose
raisonnable	reasonable/ just/ fair/ consistent/ sensible
conséquences	consequence
jouait	to play (engage in games or play)
décisions	decision
lucas	a male given name/ a Latinate variant of Luc
sensible	sensitive
déposer	to put down (set down)/ lay down
imagination	imagination
objection	objection (all meanings)
autorisation	authorization (act of authorizing)
faites-moi
chirurgie	surgery/ medical operation
ordinaire	ordinary
rouges	red (of a red color)
voyez-vous
voudra	to want/ wish/ desire
vieilles	old
hollywood	Hollywood (a neighbourhood of Los Angeles/ California/ known as…
magazine	magazine (periodical publication)
matière	material (substance of which something is made)
rentres	to go back/ to re-enter
vend	third-person singular present indicative of vendre
pourrais-je
libéré	to liberate/ to set free/ to release from captivity
sexuelle	sexual
posez	to stop carrying/ to put down (something or somebody)
bagarre	brawl/ fight
ross
solide	secure/ solid/ firm/ substantial
lié	to link
marques	mark (spot)
cercle	circle
caroline	a female given name/ masculine equivalent Charles
sûrs	sure/ certain
sortira	to exit/ go out/ come out
étudiant	student
extrêmement	extremely
digne	worthy
cirque	circus
amen	amen
carlos
congé	leave (time off/ absence from work/ etc.)
roy	king
prenait	to take
boston
meurent	to die/ to be dying
beurre	butter
émotions	emotion
causé	to speak (a language)
sortes	to exit/ go out/ come out
el	initialism of Études de lettres
stade	stadion (Ancient Greek unit of measurement)
entraîner	to coach/ to train
préférée	favourite
allemand	German (The German language)
blonde	blond (of a pale golden colour)
japon	Japan (a country in East Asia)
sortis	to exit/ go out/ come out
malheureux	unhappy/ miserable/ poor
personnelle	personal
barbara	a female given name/ equivalent to English Barbara
épaule	shoulder
était-ce
we	ouais
pigé	to understand/ to get/ to catch on/ to twig/ to cotton on
lls
menacé	to threaten
arrivait	to arrive (often followed by a location)
taux	rate/ level
tireur	one who pulls
mamie	granny/ grandma
supporte	to support
lignes	line
voyant	to see (visually)
examiner	to examine
terry
orange	orange (fruit)
nerveuse	nerve/ nervous
ouverture	opening
patiente	patient
huile	oil (liquid fat)
trouverez	to find/ to retrieve something lost/ turn up something hidden/ or…
sire	sire (term of respect) (Still used in at least partly…
mignonne	cute (of a baby/ an animal/ etc.)
parfum	perfume (scented toiletry)
retourné	to turn over/ turn upside-down/ (in cooking) to turn
fêter	to celebrate (an event)
publique	public
invitée	guest (person who is invited)
incapable	unable/ incapable
cap	cape
couleurs	color/colour
sainte	a male saint/ masculine of sainte
accompagne	to accompany/ to escort
demi-heure	half an hour/ thirty minutes
camarade	buddy/ mate
éliminer	to eliminate/ to phase out
croix	cross (shape)
large	wide/ broad
moral	morale/ optimism
détail	detail (something small enough to escape casual notice/ or a…
wilson	a surname from English
thérapie	therapy
troupes	troop
froide	cold (temperature)
signature	signature (a person's name written in their own handwriting)
pensons	to think/ reflect/ concentrate one's mind on something
parker	to park (a vehicle)
donnée	feminine singular of donné
assistante	assistant
éloigner	to remove
trahi	to betray
jo	a diminutive of the unisex given names Joanne/ Joanna/ Josée/…
enterré	to bury (put underground)/ to inter
adaptation	adaptation (all senses)
brave	brave
jeunesse	youth
guérir	to cure/ to heal
officiers	officer
recule	to move back/ to put back
toby
machines	machine/ device
justin	a male given name/ equivalent to English Justin
sommet	summit/ peak
géant	giant
démons	demon
taper	to slap/ knock/ beat
linda	a female given name of Germanic origin
territoire	territory
organisé	to organise/ to plan an event
portefeuille	wallet
sally
adorer	to love/ to adore
scénario	script
emprunter	to borrow (~ à (“from”))
tours	tower
etes
nate
alibi	alibi
respecter	to respect
marchera	to walk
tentative	attempt/ try/ effort (particularly of something difficult or risky)
décès	death (act or fact of dying)
rappelez	to call again/ to call back
lord
livrer	to deliver (a package/ merchandise etc.)
blessés	injured/ wounded
donnent	to give/ to transfer the possession/holding of something to…
fêtes	winter holidays (always in plural)
pressé	to urge
frankie
davis	a surname from English
supérieur	superior
précieux	precious
poil	hair (on the body)
rats	rat
cave	pitted
progrès	progress
objectif	of a material object/ objective
grosses	gross (twelve dozens)
cole
bruce
armé	armed (having weapons)
panne	plush velvet
iras	to go
bains	bath
officiellement	officially
enculé	to bugger/ to sodomize (have anal sex)
difficiles	difficult
renvoyer	to resend/ retransmit/ to send again
miller	a French surname from Alemannic German
invitation	invitation
allemagne	Germany (a country in Central Europe)
loyer	rent (amount of money due for renting property)
plateau	flat area
trés
mai	May (month)
humour	humor/ comic effect in a communication or performance
marcus
olivia	a female given name/ equivalent to English Olivia
actes	act
êtres	being/ thing/ creature
cinglé	nuts/ bonkers/ crazy
moche	ugly
suffisant	to be enough/ to suffice
douée	talented/ gifted
obligée	obligated (required)
junior	junior
boit	to drink
juifs	Jewish (following the religion of Judaism)
enfermé	past participle of enfermer
joseph	Joseph (biblical figure)
travaux	work/ labor
approchez	to approach/ to come close to/ to move towards
jolies	pretty/ cute
expression	expression
cherchait	to look for/ to seek
libres	free/ at liberty
jordan	a male given name/ equivalent to English Jordan
race	race (classification)
injuste	unjust/ unfair
gordon
plu	to rain
trafic	traffic (commerce)
eue	past participle of avoir
déplacer	to move
exercice	exercise/ performance
travaillent	to work
forts	strong/ powerful
épousé	to marry/ to wed
do	do/ the note 'C'
cabine	cabin (aeroplane)
miami	Miami (a city in Florida)
baise	to kiss
tenait	to have/ to hold
changera	to exchange (something)
populaire	people's/ of the people
descend	to go down
nager	to swim
ferons	to do
énervé	to vex/ to get on one's nerves
nôtre	our
électrique	electric/ electrical
devrais-je
furieux	furious
jessica	a female given name
nation	nation
for	only used in for intérieur
placé	to place (to put in a specific location)
traître	betrayer/ traitor
juif	Jewish (following the religion of Judaism)
ouah	yeah/ yep/ yup
cassette	treasure box
péché	to sin
instinct	instinct
katie
derek
remise	past participle of remettre
allemands	German (The German language)
sexuel	sexual
excitant	to excite (to stir the emotions of)
enregistrement	registration
foutez	to do/ to fuck around with/ to dick around/ to fritter/ to tinker
arrangé	to arrange
original	original
agression	aggression
rendez	to give back
commandé	to order (tell someone to do something)
ailes	wing (of a bird or other flying animal/ of poultry/ of an…
employé	to use (a physical thing)
ricky
boite	box (a container)
petit-déjeuner	breakfast (morning meal)
coupez	to cut/ cut up/ to chop/ to sever
avons-nous
angle	a geometric angle
participer	to participate
neveu	nephew
activité	activity (something to do for educational/ recreational/ or other…
coucou	cuckoo (the bird)
température	temperature
bleus	blue
cherchent	to look for/ to seek
bourse	coin purse
reçois	to receive
éternité	eternity
poubelle	rubbish bin/ garbage can
harvey
milliards	billion (10⁹)
compétition	competition
viol	a rape
marty
coté	past participle of coter
pouls	pulse (regular beat caused by the heart)
laissez-le
jay
illégal	illegal/ not permitted by law
termine	to end/ to finish/ to terminate
ranger	to order/ to arrange
élever	to raise
places	place/ square/ plaza/ piazza
autorité	authority (the power to enforce rules or give orders)
échelle	ladder
commission	commission (fee charged by an agent or broker for carrying out a…
tribu	tribe
voleurs	robber/ thief
comédie	comedy
seules	lonely
accueil	reception/ hospitality
pommes	apple (fruit)
premières	first
autorisé	to authorise
taule	jail/ clink
absurde	absurd (contrary to reason or propriety)
souffrance	sufferance/ pain/ suffering
rattraper	to get back (something which is lost)
demi-tour	U-turn/ about-turn
indiens	Indian (resident or native of India)
transformer	to transform
parle-moi
mérites	to deserve/ merit
dégâts	damage
fermée	past participle of fermer
